index,polarity,subjectivity,timestamp,speaker,speaker_name,text,applause,laughter,interaction,attack,attack_target,agree,agree_target,interruption,interrupt_target,defense,defense_against,reference,mentions,noun_phrases,people,locations,topic,autotopic,first_mention
0,0.75,0.75,,castro,Castro,"Good evening, y bienvenidos a Texas. Welcome to Texas.",False,False,False,False,[],False,[],False,,False,,False,[],"['good evening', 'y bienvenidos', 'texas', 'welcome', 'texas']",[],[],uncategorized,['misc'],[]
1,0,0,,castro,Castro,(APPLAUSE),True,False,False,False,[],False,[],False,,False,,False,[],[],[],[],uncategorized,['misc'],[]
2,0.8,0.75,,castro,Castro,"It's great to be here at TSU, home of the Tigers. You know, on January 20, 2021, at 12:01 p.m., we're going to have a Democratic president, a Democratic House, and a Democratic Senate.",False,False,False,False,[],False,[],False,,False,,False,[],"['tsu', 'tigers', 'january', 'democratic president', 'democratic house', 'democratic senate']",[],[],uncategorized,['misc'],[]
3,0,0,,castro,Castro,(APPLAUSE),True,False,False,False,[],False,[],False,,False,,False,[],[],[],[],uncategorized,['misc'],[]
4,0.156060606,0.336868687,,castro,Castro,"There will be life after Donald Trump. But the truth is that our problems didn't start just with Donald Trump, and we won't solve them by embracing old ideas. We need a bold vision: universal pre-K and universal health care, unleashing millions of new jobs in the clean energy economy, a tax system that rewards people who have to work for a living.",False,False,True,False,[],False,[],False,,False,,True,['trump'],"[""wo n't"", 'old ideas', 'bold vision', 'universal pre-k', 'universal health care', 'new jobs', 'clean energy economy', 'tax system', 'rewards people']",[],[],uncategorized,"['healthcare', 'climate-change', 'economic-inequality', 'taxes', 'jobs']","['healthcare', 'climate-change', 'economic-inequality', 'taxes', 'jobs']"
5,0.198333333,0.4325,,castro,Castro,"But first, we have to win. And that means exciting a young, diverse coalition of Americans who are ready for a bold future. That's what Kennedy did, it's what Carter did, it's what Clinton did, it's what Barack Obama did, and it's what I can do in this race. Get back Michigan, Wisconsin, and Pennsylvania, Florida, Georgia, and Arizona, and finally turn Texas blue and say goodbye to Donald Trump.",False,False,True,False,[],False,[],False,,False,,True,"['trump', 'obama']","['diverse coalition', 'kennedy', 'carter', 'barack obama', 'michigan', 'wisconsin', 'pennsylvania', 'florida', 'georgia', 'arizona', 'texas']",[],[],uncategorized,['misc'],[]
6,0,0,,castro,Castro,(APPLAUSE),True,False,False,False,[],False,[],False,,False,,False,[],[],[],[],uncategorized,['misc'],[]
7,0,0,,moderator,Stephanopoulos,Senator Klobuchar?,False,False,False,False,[],False,[],False,,False,,True,['klobuchar'],['klobuchar'],[],[],uncategorized,['misc'],[]
8,0.3125,0.3625,,klobuchar,Klobuchar,"Good evening, Texas Southern. I believe that what unites us up here, the 10 of us, is much stronger than what divides us. And I think that’s true of our country, too.",False,False,False,False,[],False,[],False,,False,,False,[],"['good evening', 'texas', '’ s']",[],[],uncategorized,['misc'],[]
9,0,0,,klobuchar,Klobuchar,"Now, I may not be the loudest person up here, but I think we've already got that in the White House.",False,False,False,False,[],False,[],False,,False,,False,[],"['loudest person', 'white house']",[],[],uncategorized,['misc'],[]
10,0,0,,klobuchar,Klobuchar,(APPLAUSE),True,False,False,False,[],False,[],False,,False,,False,[],[],[],[],uncategorized,['misc'],[]
11,-0.2,0.5,,klobuchar,Klobuchar,"Houston, we have a problem. This -- we have a guy there that is literally running our country like a game show. He would rather lie than lead. I think we need something different.",False,False,False,False,[],False,[],False,,False,,False,[],"['houston', 'game show']",[],[],uncategorized,['misc'],[]
12,0.4,0.2,,klobuchar,Klobuchar,"I am someone that tells the truth. I don't make promises that I can't keep. I have people's back. And I believe that to win, you bring people with you and that is how you govern, as well.",False,False,False,False,[],False,[],False,,False,,False,[],"[""ca n't"", ""people 's""]",[],[],uncategorized,['misc'],[]
13,0.090972222,0.436111111,,klobuchar,Klobuchar,"So, you're going to hear a lot of ideas up here. Some will be great. But if you see that some of them seem a little off-track, I've got a better way. If you feel stuck in the middle of the extremes in our politics and you are tired of the noise and the nonsense, you've got a home with me, because I don't want to be the president for half of America. I want to be the president for all of America.",False,False,False,False,[],False,[],False,,False,,False,[],"['america', 'america']",[],[],uncategorized,['misc'],[]
14,0,0,,klobuchar,Klobuchar,(APPLAUSE),True,False,False,False,[],False,[],False,,False,,False,[],[],[],[],uncategorized,['misc'],[]
15,0,0,,moderator,Stephanopoulos,Congressman Beto O'Rourke?,False,False,False,False,[],False,[],False,,False,,True,['orourke'],"[""beto o'rourke""]",[],[],uncategorized,['misc'],[]
16,0.333333333,0.333333333,,orourke,O'Rourke,"It's an honor to be on this debate stage. It is wonderful to be back in Texas, in Houston, back here at TSU.",False,False,False,False,[],False,[],False,,False,,False,[],"['’ s', 'debate stage', 'texas', 'houston', 'tsu']",[],[],uncategorized,['misc'],[]
17,-0.083333333,0.538888889,,orourke,O'Rourke,"On August 3, in El Paso, Texas, two things became crystal clear for me, and I think produced a turning point for this country. The first is just how dangerous Donald Trump is, the cost and the consequence of his presidency.",False,False,False,False,[],False,[],False,,False,,True,['trump'],"['august', 'el paso', 'texas', 'turning point']",[],[],uncategorized,['misc'],[]
18,0.028571429,0.479761905,,orourke,O'Rourke,"A racism and violence that had long been a part of America was welcomed out into the open and directed to my hometown of El Paso, Texas, where 22 people were killed, dozens more grievously injured by a man carrying a weapon he should never have been able to buy in the first place, inspired to kill by our president.",False,False,False,False,[],False,[],False,,False,,False,[],"['america', 'el paso', 'texas']",[],[],uncategorized,['misc'],[]
19,0.197142857,0.463809524,,orourke,O'Rourke,"The second is how insufficient our politics is to meet the threat that we have right now. The bitterness, the pettiness, the smallness of the moment, the incentives to attack one another and try to make differences without distinctions, mountains out of mole hills, we have to be bigger. We have to see clearly, we have to speak honestly, and we have to act decisively. That's what I want to do for you as president of the United States. Thank you.",False,False,False,False,[],False,[],False,,False,,False,[],['mole hills'],[],[],uncategorized,['misc'],[]
20,0,0,,orourke,O'Rourke,(APPLAUSE),True,False,False,False,[],False,[],False,,False,,False,[],[],[],[],uncategorized,['misc'],[]
21,0,0,,moderator,Stephanopoulos,Senator Cory Booker?,False,False,False,False,[],False,[],False,,False,,True,['booker'],['cory booker'],[],[],uncategorized,['misc'],[]
22,0.068181818,0.310606061,,booker,Booker,"It was over 20 years ago that I was a law student and moved to inner city Newark, New Jersey, to serve as a tenants rights lawyer to try to address the challenges in my community. And I was sobered by them -- the gun violence, the substandard housing.",False,False,False,False,[],False,[],False,,False,,False,[],"['law student', 'inner city', 'newark', 'jersey', 'tenants rights lawyer', 'gun violence', 'substandard housing']",[],[],uncategorized,['gun-control'],['gun-control']
23,1,1,,booker,Booker,"But it was my greatest mentor, a woman named Ms. Virginia Jones, who challenged me. She said, boy, if all you see in this neighborhood is problems, that's all there's ever going to be. But if you're stubborn and defiant and can put forth a vision that can unify people, then we can make transformative change. She was a church woman that said, without vision, the people will perish.",False,False,False,False,[],False,[],False,,False,,False,[],"['ms. virginia jones', ""'re stubborn"", 'church woman']",[],[],uncategorized,['misc'],[]
24,-0.052083333,0.65625,,booker,Booker,"Well, that's exactly what we did. We created extraordinary unity in our community, and we did things that other people think -- thought was impossible.",False,False,False,False,[],False,[],False,,False,,False,[],['extraordinary unity'],[],[],uncategorized,['misc'],[]
25,0.1,0.508333333,,booker,Booker,"That’s the story of America. At our best, we unify, we find common cause and common purpose. The differences among us Democrats on the stage are not as great as the urgency for us to unite as a party, not just to beat Donald Trump, but to unite America in common cause and common purpose. That’s why I’m running for president, and that’s how I will lead this nation.",False,False,True,False,[],False,[],False,,False,,True,['trump'],"['’ s', 'america', 'common purpose', 'america', 'common purpose', '’ s', '’ m', '’ s']",[],[],uncategorized,['misc'],[]
26,0,0,,booker,Booker,(APPLAUSE),True,False,False,False,[],False,[],False,,False,,False,[],[],[],[],uncategorized,['misc'],[]
27,0,0,,moderator,Stephanopoulos,Entrepreneur Andrew Yang?,False,False,False,False,[],False,[],False,,False,,True,['yang'],['entrepreneur andrew yang'],[],[],uncategorized,['misc'],[]
28,-0.0625,0.6875,,yang,Yang,"In America today, everything revolves around the almighty dollar -- our schools, our hospitals, our media, even our government. It’s why we don’t trust our institutions anymore. We have to get our country working for us again, instead of the other way around. We have to see ourselves as the owners and shareholders of this democracy rather than inputs into a giant machine.",False,False,False,False,[],False,[],False,,False,,False,[],"['america', 'almighty dollar', '’ s', 'don ’ t trust', 'giant machine']",[],[],uncategorized,['education'],['education']
